X0_0	Y0_0	X0_1	Y0_1	X0_2	Y0_2	X0_3	Y0_3	X0_4	Y0_4	X0_5	Y0_5
		8.54600e+02	5.42487e-24	8.54600e+02	4.97387e-27	8.54600e+02	5.65249e-27	8.54600e+02	5.65249e-27	8.54600e+02	5.42487e-24
		8.54950e+02	6.03163e-24	8.54950e+02	-5.53547e-27	8.54950e+02	6.43079e-27	8.54950e+02	6.43079e-27	8.54950e+02	6.03163e-24
		8.55300e+02	7.94490e-24	8.55300e+02	5.86612e-26	8.55300e+02	8.66739e-27	8.55300e+02	8.66739e-27	8.55300e+02	7.94490e-24
		8.55650e+02	1.00105e-23	8.55650e+02	1.10087e-25	8.55650e+02	1.11742e-26	8.55650e+02	1.11742e-26	8.55650e+02	1.00105e-23
		8.56000e+02	1.25747e-23	8.56000e+02	8.10102e-26	8.56000e+02	1.43619e-26	8.56000e+02	1.43619e-26	8.56000e+02	1.25747e-23
		8.56350e+02	1.51050e-23	8.56350e+02	1.55765e-26	8.56350e+02	1.76516e-26	8.56350e+02	1.76516e-26	8.56350e+02	1.51050e-23
		8.56700e+02	1.74399e-23	8.56700e+02	6.93780e-27	8.56700e+02	2.08518e-26	8.56700e+02	2.08518e-26	8.56700e+02	1.74399e-23
		8.57050e+02	1.90309e-23	8.57050e+02	6.76583e-26	8.57050e+02	2.32803e-26	8.57050e+02	2.32803e-26	8.57050e+02	1.90309e-23
		8.57400e+02	2.04084e-23	8.57400e+02	1.12742e-25	8.57400e+02	2.55424e-26	8.57400e+02	2.55424e-26	8.57400e+02	2.04084e-23
		8.57750e+02	2.05800e-23	8.57750e+02	7.81031e-26	8.57750e+02	2.63519e-26	8.57750e+02	2.63519e-26	8.57750e+02	2.05800e-23
