# wavelength in nm, signal in a.u.
9.2380e+02,5.3370e-07
9.2400e+02,5.5350e-07
9.2420e+02,5.8000e-07
9.2440e+02,6.0790e-07
9.2460e+02,6.3110e-07
9.2480e+02,6.5670e-07
9.2500e+02,6.9210e-07
9.2520e+02,7.2550e-07
9.2540e+02,7.5880e-07
9.2560e+02,7.9230e-07
9.2580e+02,8.2360e-07
9.2600e+02,8.5410e-07
9.2620e+02,8.8140e-07
9.2640e+02,9.0480e-07
9.2660e+02,9.2860e-07
9.2680e+02,9.4080e-07
9.2700e+02,9.5770e-07
9.2720e+02,9.7840e-07
9.2740e+02,9.9070e-07
9.2760e+02,1.0020e-06
9.2780e+02,1.0180e-06
9.2800e+02,1.0200e-06
9.2820e+02,1.0370e-06
9.2840e+02,1.0510e-06
9.2860e+02,1.0680e-06
9.2880e+02,1.0850e-06
9.2900e+02,1.1010e-06
9.2920e+02,1.1220e-06
9.2940e+02,1.1380e-06
9.2960e+02,1.1560e-06
9.2980e+02,1.1750e-06
9.3000e+02,1.2020e-06
9.3020e+02,1.2120e-06
9.3040e+02,1.2190e-06
9.3060e+02,1.2370e-06
9.3080e+02,1.2450e-06
9.3100e+02,1.2490e-06
9.3120e+02,1.2530e-06
9.3140e+02,1.2480e-06
9.3160e+02,1.2600e-06
9.3180e+02,1.2690e-06
9.3200e+02,1.2620e-06
9.3220e+02,1.2730e-06
9.3240e+02,1.2820e-06
9.3260e+02,1.2820e-06
9.3280e+02,1.2960e-06
9.3300e+02,1.3120e-06
9.3320e+02,1.3340e-06
9.3340e+02,1.3630e-06
9.3360e+02,1.4000e-06
9.3380e+02,1.4310e-06
9.3400e+02,1.4570e-06
9.3420e+02,1.4940e-06
9.3440e+02,1.5300e-06
9.3460e+02,1.5660e-06
9.3480e+02,1.6070e-06
9.3500e+02,1.6590e-06
9.3520e+02,1.7100e-06
9.3540e+02,1.7640e-06
9.3560e+02,1.8150e-06
9.3580e+02,1.8670e-06
9.3600e+02,1.9230e-06
9.3620e+02,1.9910e-06
9.3640e+02,2.0580e-06
9.3660e+02,2.1200e-06
9.3680e+02,2.1730e-06
9.3700e+02,2.2280e-06
9.3720e+02,2.2720e-06
9.3740e+02,2.2990e-06
9.3760e+02,2.3120e-06
9.3780e+02,2.3330e-06
9.3800e+02,2.3590e-06
9.3820e+02,2.3960e-06
9.3840e+02,2.4290e-06
9.3860e+02,2.4450e-06
9.3880e+02,2.4770e-06
9.3900e+02,2.5340e-06
9.3920e+02,2.5820e-06
9.3940e+02,2.6320e-06
9.3960e+02,2.6980e-06
9.3980e+02,2.7750e-06
9.4000e+02,2.8810e-06
9.4020e+02,2.9500e-06
9.4040e+02,3.0240e-06
9.4060e+02,3.0940e-06
9.4080e+02,3.1890e-06
9.4100e+02,3.2720e-06
9.4120e+02,3.3040e-06
9.4140e+02,3.3240e-06
9.4160e+02,3.3830e-06
9.4180e+02,3.3980e-06
9.4200e+02,3.3770e-06
9.4220e+02,3.3480e-06
9.4240e+02,3.3030e-06
9.4260e+02,3.2460e-06
9.4280e+02,3.1430e-06
9.4300e+02,3.0940e-06
9.4320e+02,2.9870e-06
9.4340e+02,2.8790e-06
9.4360e+02,2.7810e-06
9.4380e+02,2.6780e-06
9.4400e+02,2.5900e-06
9.4420e+02,2.5170e-06
9.4440e+02,2.4460e-06
9.4460e+02,2.3590e-06
9.4480e+02,2.2960e-06
9.4500e+02,2.2430e-06
9.4520e+02,2.1960e-06
